time,vertical_speed,horizontal_speed,dist,distance_from_moon,angle,weight,acceleration,dvs,fuel,PID,NN
226,23.999892157695605,609.562787123895,5001.595759204789,8322.56640675545,58.3,286,1.979957579610189,24,85.08238186204615,0.0006645318243714701,0.786620892927114
227,23.99988596709952,607.8782172189742,4393.717541985815,8298.56652078835,58.3,286,1.9830163671627667,24,84.90775202381633,0.000664244328261131,0.7872851372553752
228,23.99987974823189,606.1910448636224,3787.5264971221923,8274.566641040119,58.3,286,1.9860798800012054,24,84.73297472334563,0.000663953843716878,0.7879490910990921
229,23.999873501132836,604.5012660375138,3183.0252310846786,8250.566767538987,58.3,286,1.9891481254259573,24,84.55805002512163,0.0006636603638093138,0.7886127514629013
230,23.99986722584216,602.8088767141114,2580.2163543705674,8226.566900313144,58.3,286,1.9922211107487446,24,84.38297799429687,0.0006633638816106081,0.7892761153445119
231,23.99986092239935,601.1138728606572,1979.1024815099101,8202.567039390746,58.3,286,1.9952988432925791,24,84.20775869669039,0.0006630643901914193,0.7899391797347033
232,23.999854590843587,599.4162504381629,1379.6862310717472,8178.567184799902,58.3,286,1.998381330391776,24,84.03239219878928,0.0006627618826232171,0.7906019416173266
233,23.999848231213743,597.7160054014,781.9702256703472,8154.567336568688,58.3,286,2.0014685793919726,24,83.85687856775023,0.0006624563519776228,0.7912643979693041
234,23.999841843548396,596.0131336988902,185.95709197145698,8130.56749472514,58.3,286,2.0045605976501455,24,83.68121787140105,0.0006621477913273135,0.7919265457606315
235,23.99983542788582,594.3076312728957,-408.35053930143874,8106.567659297254,58.3,286,2.007657392534628,24,83.50541017824219,0.0006618361937445133,0.792588381954376
236,23.999828984264006,592.59949405941,-1000.9500333608487,8082.56783031299,58.3,286,2.0107589714251284,24,83.32945555744831,0.0006615215523034631,0.7932499035066795
237,23.999822512720655,590.8887179881474,-1591.838751348996,8058.568007800269,58.3,286,2.0138653417127492,24,83.15335407886982,0.0006612038600782039,0.7939111073667576
238,23.999816013293184,589.1752989825342,-2181.01405033153,8034.568191786975,58.3,286,2.0169765108000033,24,82.9771058130344,0.0006608831101433433,0.794571990476901
239,23.99980948601873,587.4592329596982,-2768.473283291228,8010.568382300957,58.3,286,2.0200924861008294,24,82.80071083114852,0.0006605592955741144,0.795232549772475
240,23.999802930934155,585.7405158304596,-3354.2137991216878,7986.568579370022,58.3,286,2.0232132750406127,24,82.62416920509904,0.0006602324094472872,0.7958927821819223
241,23.999796348076053,584.0191434993208,-3938.2329426210085,7962.568783021946,58.3,286,2.0263388850562007,24,82.44748100745466,0.0006599024448405205,0.7965526846267628
242,23.999789737480754,582.295111864457,-4520.528054485466,7938.568993284465,58.3,286,2.0294693235959227,24,82.27064631146752,0.0006595693948332768,0.797212254021596
243,23.999783099184317,580.5684168177063,-5101.096471303172,7914.569210185281,58.3,286,2.0326045981196086,24,82.09366519107472,0.0006592332525036155,0.7978714872740996
244,23.999776433222547,578.8390542445597,-5679.935525547731,7890.569433752058,58.3,286,2.035744716098601,24,81.91653772089987,0.0006588940109329475,0.7985303812850326
245,23.999769739630995,577.1070200241518,-6257.042545571883,7866.569664012427,58.3,286,2.0388896850157776,24,81.73926397625459,0.0006585516632039698,0.7991889329482366
246,23.999763018444966,575.3723100292502,-6832.414855601133,7842.569900993982,58.3,286,2.04203951236557,24,81.56184403314008,0.0006582062024007342,0.7998471391506373
247,23.999756269699514,573.6349201262467,-7406.04977572738,7818.570144724282,58.3,286,2.0451942056539796,24,81.38427796824864,0.0006578576216078605,0.8005049967722452
248,23.99974949342945,571.8948461751465,-7977.944621902527,7794.570395230852,58.3,286,2.048353772398595,24,81.2065658589652,0.0006575059139121705,0.8011625026861573
249,23.999742689669354,570.1520840295592,-8548.096705932086,7770.570652541182,58.3,286,2.0515182201286115,24,81.02870778336887,0.0006571510724020476,0.8018196537585593
250,23.999735858453565,568.4066295366879,-9116.503335468775,7746.570916682729,58.3,286,2.054687556384847,24,80.85070382023447,0.0006567930901683627,0.8024764468487278
251,23.999728999816195,566.6584785373203,-9683.161814006095,7722.571187682913,58.3,286,2.057861788719766,24,80.67255404903405,0.0006564319603021297,0.80313287880903
252,23.99972211379113,564.9076268658183,-10248.069440871914,7698.571465569122,58.3,286,2.0610409246974863,24,80.49425854993844,0.0006560676758977067,0.8037889464849276
253,23.99971520041203,563.1540703501081,-10811.223511222022,7674.57175036871,58.3,286,2.0642249718938084,24,80.31581740381878,0.000655700230050598,0.8044446467149782
254,23.999708259712342,561.3978048116703,-11372.621316033692,7650.572042108998,58.3,286,2.067413937896226,24,80.13723069224805,0.0006553296158590943,0.8050999763308373
255,23.999701291725295,559.6388260655301,-11932.260142099221,7626.572340817273,58.3,286,2.070607830303951,24,79.9584984975026,0.0006549558264227851,0.8057549321572601
